Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Inrichting,Aantal zitplaatsen,Eerste kleur,Aantal cilinders,Cilinderinhoud,Europese voertuigcategorie
9XXL49,Personenauto,TOYOTA,TOYOTA AYGO,20210824,hatchback,4,WIT,3,998,M1
GR011V,Personenauto,VOLKSWAGEN,UP!,20210515,hatchback,4,WIT,3,999,M1
9TNR75,Personenauto,FORD,FIESTA,20180315,hatchback,5,BLAUW,3,998,M1
MR21DL,Motorfiets,YAMAHA,RZ,19941125,Niet geregistreerd,,N.v.t.,2,347,L3
GR486B,Personenauto,VOLKSWAGEN,PASSAT,20220223,stationwagen,5,BLAUW,4,"1,968",M1
12RBP6,Personenauto,RENAULT,TWINGO,20110506,hatchback,4,ROOD,4,"1,461",M1
DH680L,Bromfiets,PEUGEOT,VIVACITY,20101018,N.v.t.,,N.v.t.,,50,L1
MNDL39,Motorfiets,YAMAHA,YZF-R6,20210514,Niet geregistreerd,2,N.v.t.,4,600,L3
27MHJR,Motorfiets,YAMAHA,MT 03,20200124,Niet geregistreerd,2,N.v.t.,1,660,L3
38FVH8,Bromfiets,PEUGEOT,DV0C,20220404,N.v.t.,,N.v.t.,1,50,L1
68KXF1,Personenauto,OPEL,AGILA,20130328,stationwagen,5,ZWART,4,"1,242",M1
DPK59N,Bromfiets,PIAGGIO,VESPA SPRINT,20200522,N.v.t.,2,N.v.t.,1,50,L1
VF670R,Bedrijfsauto,VOLKSWAGEN,TRANSPORTER,20171107,gesloten opbouw,3,N.v.t.,4,"1,968",N1
J853KZ,Personenauto,TESLA,MODEL 3,20200909,sedan,5,ROOD,,,M1
55RXPF,Personenauto,PEUGEOT,206,20200314,stationwagen,5,GRIJS,4,"1,360",M1
H823XP,Personenauto,PEUGEOT,2008,20200629,stationwagen,5,ORANJE,3,"1,199",M1
07RVDX,Personenauto,KIA,PICANTO,20170413,MPV,5,ZWART,4,999,M1
V172TZ,Bedrijfsauto,FORD,TRANSIT CUSTOM,20210630,gesloten opbouw,5,N.v.t.,4,"1,995",N1
SH491L,Personenauto,SEAT,LEON,20211124,stationwagen,5,ZWART,4,"1,395",M1
JD084S,Personenauto,PEUGEOT,3008,20181215,MPV,5,GRIJS,3,"1,199",M1
44PNF2,Personenauto,MITSUBISHI,MITSUBISHI COLT,20170121,stationwagen,5,GRIJS,4,"1,332",M1
66MBGN,Motorfiets,YAMAHA,FJR1300,20150502,Niet geregistreerd,2,N.v.t.,4,"1,298",L3
DK762P,Bromfiets,KREIDLER,,20060930,N.v.t.,,N.v.t.,,50,L1
PV857S,Personenauto,PEUGEOT,208,20211019,hatchback,5,BLAUW,3,"1,199",M1
P677FD,Personenauto,VOLKSWAGEN,GOLF,20220408,stationwagen,5,WIT,4,"1,395",M1
MPRP15,Motorfiets,SUZUKI,GSX-R600,20201114,Niet geregistreerd,2,N.v.t.,4,599,L3
TNG50D,Land- of bosbouwtrekker,YALE,ONBEKEND,20211013,Niet geregistreerd,,N.v.t.,,,T
SN369F,Personenauto,OPEL,CROSSLAND X,20180505,MPV,5,BLAUW,3,"1,199",M1
F315RP,Bromfiets,PIAGGIO,N/A,20130831,N.v.t.,2,N.v.t.,1,50,L1
KJ575X,Personenauto,SKODA,YETI,20170203,stationwagen,5,GRIJS,4,"1,390",M1
P853JT,Personenauto,FORD,ECOSPORT,20220331,hatchback,5,ZWART,3,998,M1
24MFRN,Motorfiets,SUZUKI,SV1000SU2,20150523,Niet geregistreerd,2,N.v.t.,2,996,L3
FHN88N,Bromfiets,SPYDER WHEELZ,SPYDER RENT GROUP NEDERLAND BV,20220325,N.v.t.,1,N.v.t.,,,L1
